internal_contact_name,whatsapp_chat_name,whatsapp_client_reply,reply_type,phone
Anyoli Jewelry,Anyoli Romania,"Buna ziua,va rog trimiteți tot ce considerați le email:info@anyoli.ro",manual_positive,+40723400136
Nord Estates,Agenția Imobiliară NORD ESTATES,Buna ziua. Va rog,manual_positive,+40755172172
Ab Properties,AB Properties,Vă mulțumim că ați contactat AB Properties! Unul dintre agenții noștri va reveni către dumneavoastră !,auto_reply,+40753898446
Bratari Velar.ro,Velar.ro,Bună! Am primit mesajul tău! Revenim imediat cu un răspuns.,auto_reply,+40735688889
Stilunic By alexandra ionescu - atelier reparații și bijuterii la comandă,StilUnic.ro,"Salutare! Sigur, aștept observațiile și discutăm ulterior! Mulțumesc!",manual_positive,+40724594443
Tornador,Mihaela,"Vă mulțumim că ați contactat Spalatoria Auto Tornador. Nu suntem disponibili momentan, dar vom răspunde cât mai curând posibil.",manual_positive,+40729966776
Baboieru,Maria Mirela Ivan,Da,manual_positive,+40762650744
Roilmob Ambient,Robert Pontbriant,Trimiteți.,manual_positive,+40722320293
Rimo,Rimo,"Bună ziua! 
Vă mulțumim pentru interesul acordat proprietății pe care o reprezentăm! În cel mai scurt timp o sa fiți contactat de agentul nostru care se ocupa de această proprietate.

Echipa RIMO",manual_positive,+40723220767
Nova Bedroom,Nova Bedroom,"Vă mulțumim pentru mesaj. Momentan nu suntem disponibili, dar vă vom răspunde cât mai curând posibil.",manual_positive,+40725917776
Starlight Real estate - companie imobiliara,Starlight Real Estate,"Auto Response:
Thank you for contacting Starlight Real Estate. Please let us know how we can help you.",auto_reply,+40725805805
Dream Prints - tapet premium,DReAM PRINTS,Thank you for contacting Dream Prints! Please let us know how we can help you.,auto_reply,+40731019168
Eurocity Estate imobiliare,Steluta Eurocityestate,"Buna ziua! Afacerea mea, sunt eu! Nu am angajați, lucrez singura si in general am recomandări de la clienții mei, sau proprietati pe care le închiriez de ani de zile. Sunt agent imobiliar de 32 de ani si eu lucrez doar recomandări de la clienții mei. Am de lucru, mulțumesc lui Dumnezeu! Daca ar fi mai mult, nu as putea face fața, dar Dumnezeu are grijă de mine si e bun si imi trimite oamenii care au nevoie de serviciile mele. 
Multumesc frumos pentru interesul dumneavoastra!",manual_positive,+40724590266
Anelisse Home,Diana,În regulă,manual_positive,+40770546876
Viyogo,Viyogo,Vă mulțumim că ați contactat Viyogo! Cum vă putem ajuta?,auto_reply,+40738681738
Smokey Coffee,Smokey Coffee,"Buna ziua, suntem interesați in principal de promovarea paginii web 
Smokeycoffee.ro",manual_positive,+40733352549
Furnisso,Furnisso,"Bun venit la FURNISSO! ✨ Realizăm mobilier la comandă premium, adaptat stilului și spațiului dvs., cu atenție la fiecare detaliu. Lăsați-ne un mesaj, iar echipa noastră vă va răspunde în cel mai scurt timp.",manual_positive,+40766752590
Fotofuji,Fuji Sun Plaza,"Vă mulțumim că ați contactat Fujifilm Sun Plaza! Suntem aici pentru a vă ajuta. 
Pentru comenzile de fotografii trimise pe WhatsApp vă rugăm sa ne contactați telefonic pentru confirmare.",auto_reply,+40746121907
Kestar Coffee & chocolate,Ioan Florin,"Buna ziua. Sunt constient ca exista lucruri care pot fi imbunatatite. Sigur, daca doriti, imi puteti trimite acele observatii. Multumesc!",manual_positive,+40749119181
Gave.,Gave România,"🇷🇴Bun venit la GAVE! 🇷🇴
Te rugam sa alegi una dintre opțiunile de mai jos pentru a primi rezolvare rapida:                                                                                      

🛒Comandă Nouă
📦Informații Livrare
🔙Retur Comandă
🚨Produs Defect
🧾Contabilitate

Agentul de serviciu va răspunde instant aici: suport.gave.ro",manual_positive,+40722313891
